序号,字,拼音,组词1,组词1拼音,组词2,组词2拼音,备注
945,船,chuán,船只,chuán zhī,船长,chuán zhǎng,
946,概,gài,概念,gài niàn,大概,dà gài,
947,贵,guì,贵族,guì zú,宝贵,bǎo guì,
948,附,fù,附近,fù jìn,附属,fù shǔ,
949,趣,qù,兴趣,xìng qù,有趣,yǒu qù,
950,摄,shè,拍摄,pāi shè,摄影,shè yǐng,
951,库,kù,库存,kù cún,水库,shuǐ kù,
952,跑,pǎo / páo,跑道,pǎo dào,跑步,pǎo bù,
953,鱼,yú,鱼类,yú lèi,小鱼,xiǎo yú,
954,轮,lún,一轮,yī lún,轮流,lún liú,
955,顿,dùn,整顿,zhěng dùn,一顿,yī dùn,
956,翻,fān,推翻,tuī fān,翻身,fān shēn,
957,良,liáng,良好,liáng hǎo,不良,bù liáng,
958,旧,jiù,依旧,yī jiù,仍旧,réng jiù,
959,狗,gǒu,狗狗,gǒu gǒu,小狗,xiǎo gǒu,
960,急,jí,紧急,jǐn jí,应急,yìng jí,
961,寻,xún,寻找,xún zhǎo,寻求,xún qiú,
962,套,tào,一套,yī tào,配套,pèi tào,
963,综,zōng / zèng,综合,zōng hé,综艺,zōng yì,
964,掉,diào,卖掉,mài diào,干掉,gàn diào,
965,顺,shùn,顺利,shùn lì,顺序,shùn xù,
966,童,tóng,儿童,ér tóng,童年,tóng nián,
967,迫,pò / pǎi,被迫,bèi pò,迫害,pò hài,
968,庆,qìng,重庆,chóng qìng,庆典,qìng diǎn,
969,丽,lì / lí,美丽,měi lì,华丽,huá lì,
970,木,mù,木材,mù cái,木头,mù tou,
971,春,chūn,青春,qīng chūn,春天,chūn tiān,
972,吉,jí,吉他,jí tā,吉利,jí lì,
973,脱,tuō,脱离,tuō lí,解脱,jiě tuō,
974,竞,jìng,竞争,jìng zhēng,竞选,jìng xuǎn,
975,虑,lǜ,考虑,kǎo lǜ,顾虑,gù lǜ,
976,架,jià,架构,jià gòu,一架,yī jià,
977,呼,hū,呼吸,hū xī,称呼,chēng hū,
978,端,duān,极端,jí duān,高端,gāo duān,
979,违,wéi,违法,wéi fǎ,违反,wéi fǎn,
980,含,hán,包含,bāo hán,含有,hán yǒu,
981,皮,pí,皮革,pí gé,皮带,pí dài,
982,堂,táng,教堂,jiào táng,天堂,tiān táng,
983,怪,guài,奇怪,qí guài,怪物,guài wù,
984,尚,shàng,尚未,shàng wèi,时尚,shí shàng,
985,抓,zhuā,抓住,zhuā zhù,抓紧,zhuā jǐn,
986,汽,qì,汽车,qì chē,汽油,qì yóu,
987,挥,huī,发挥,fā huī,指挥,zhǐ huī,
988,归,guī,回归,huí guī,归属,guī shǔ,
989,骗,piàn,骗子,piàn zi,骗局,piàn jú,
990,诺,nuò,承诺,chéng nuò,诺言,nuò yán,
991,肉,ròu,肉体,ròu tǐ,肉类,ròu lèi,
992,招,zhāo,招生,zhāo shēng,招标,zhāo biāo,
993,探,tàn,探索,tàn suǒ,探讨,tàn tǎo,
994,培,péi,培训,péi xùn,培养,péi yǎng,
995,睡,shuì,睡觉,shuì jiào,睡着,shuì zháo,
996,献,xiàn,文献,wén xiàn,献给,xiàn gěi,
997,针,zhēn,针对,zhēn duì,方针,fāng zhēn,
998,饭,fàn,吃饭,chī fàn,饭店,fàn diàn,
999,敢,gǎn,不敢,bù gǎn,敢于,gǎn yú,
1000,野,yě,野生,yě shēng,视野,shì yě,
1001,惊,jīng,惊人,jīng rén,惊喜,jīng xǐ,
1002,透,tòu,透过,tòu guò,透露,tòu lù,
1003,避,bì,避免,bì miǎn,回避,huí bì,
1004,智,zhì,智能,zhì néng,理智,lǐ zhì,
1005,痛,tòng,痛苦,tòng kǔ,头痛,tóu tòng,
1006,既,jì,既然,jì rán,既有,jì yǒu,
1007,啦,la / lā,啦啦队,la la duì,呼啦啦,hū lā lā,
1008,牛,niú,牛肉,niú ròu,牛顿,niú dùn,
1009,税,shuì,税收,shuì shōu,关税,guān shuì,
1010,洋,yáng,海洋,hǎi yáng,太平洋,tài píng yáng,
1011,谓,wèi,所谓,suǒ wèi,可谓,kě wèi,
1012,敌,dí,敌人,dí rén,无敌,wú dí,
1013,申,shēn,申请,shēn qǐng,申报,shēn bào,
1014,巨,jù,巨大,jù dà,巨人,jù rén,
1015,慢,màn,慢慢,màn màn,慢性,màn xìng,
1016,炸,zhà / zhá,爆炸,bào zhà,炸弹,zhà dàn,
1017,忘,wàng,忘记,wàng jì,遗忘,yí wàng,
1018,句,jù / gōu,一句,yī jù,这句,zhè jù,
1019,渐,jiàn / jiān,逐渐,zhú jiàn,渐渐,jiàn jiàn,
1020,唯,wéi / wěi,唯一,wéi yī,唯有,wéi yǒu,
1021,损,sǔn,损失,sǔn shī,损害,sǔn hài,
1022,弃,qì,放弃,fàng qì,遗弃,yí qì,
1023,彩,cǎi,色彩,sè cǎi,精彩,jīng cǎi,
1024,阅,yuè,阅读,yuè dú,查阅,chá yuè,
1025,散,sàn / sǎn,扩散,kuò sàn,分散,fēn sàn,
1026,绍,shào,介绍,jiè shào,介绍信,jiè shào xìn,
1027,漫,màn,漫画,màn huà,漫长,màn cháng,
1028,洛,luò,洛克,luò kè,洛夫,luò fū,
1029,休,xiū,休息,xiū xī,退休,tuì xiū,
1030,塔,tǎ,塔克,tǎ kè,金字塔,jīn zì tǎ,
1031,伯,bó / bǎi / bà,阿拉伯,ā lā bó,罗伯特,luó bó tè,
1032,厅,tīng,大厅,dà tīng,客厅,kè tīng,
1033,冷,lěng,冷战,lěng zhàn,冷却,lěng què,
1034,染,rǎn,感染,gǎn rǎn,传染,chuán rǎn,
1035,召,zhào / shào,召开,zhào kāi,号召,hào zhào,
1036,佛,fú / fó,佛教,fó jiào,佛像,fó xiàng,
1037,诗,shī,诗人,shī rén,诗歌,shī gē,
1038,鲁,lǔ,秘鲁,bì lǔ,布鲁斯,bù lǔ sī,
1039,刑,xíng,刑事,xíng shì,死刑,sǐ xíng,
1040,雷,léi,雷达,léi dá,布雷,bù léi,
1041,笔,bǐ,笔者,bǐ zhě,笔记,bǐ jì,
1042,萨,sà,萨拉,sà lā,萨克,sà kè,
1043,汇,huì,外汇,wài huì,汇率,huì lǜ,
1044,楚,chǔ,清楚,qīng chǔ,痛楚,tòng chǔ,
1045,延,yán,延长,yán cháng,延续,yán xù,
1046,松,sōng,轻松,qīng sōng,放松,fàng sōng,
1047,予,yǔ / yú,给予,jí yǔ,授予,shòu yǔ,
1048,坦,tǎn,坦克,tǎn kè,斯坦,sī tǎn,
1049,妻,qī / qì,妻子,qī zǐ,夫妻,fū qī,
1050,裁,cái,总裁,zǒng cái,制裁,zhì cái,
1051,丰,fēng,丰富,fēng fù,丰满,fēng mǎn,
1052,促,cù,促进,cù jìn,促使,cù shǐ,
1053,脚,jiǎo / jué,脚步,jiǎo bù,脚下,jiǎo xià,
1054,贝,bèi,宝贝,bǎo bèi,贝尔,bèi ěr,
1055,森,sēn,森林,sēn lín,东森,dōng sēn,
1056,唱,chàng,唱歌,chàng gē,演唱,yǎn chàng,
1057,译,yì,翻译,fān yì,编译,biān yì,
1058,启,qǐ,启动,qǐ dòng,开启,kāi qǐ,
1059,树,shù,树立,shù lì,树木,shù mù,
1060,赢,yíng,赢得,yíng dé,赢家,yíng jiā,
1061,幕,mù,开幕,kāi mù,幕后,mù hòu,
1062,爸,bà,爸爸,bà bà,老爸,lǎo bà,
1063,贸,mào,贸易,mào yì,外贸,wài mào,
1064,障,zhàng,保障,bǎo zhàng,故障,gù zhàng,
1065,泽,zé,毛泽东,máo zé dōng,江泽民,jiāng zé mín,
1066,熟,shú,成熟,chéng shú,熟练,shú liàn,
1067,混,hùn / hún,混乱,hùn luàn,混合,hùn hé,
1068,蒙,méng / mēng / měng,蒙古,méng gǔ,启蒙,qǐ méng,
1069,固,gù,固定,gù dìng,固然,gù rán,
1070,宪,xiàn,宪法,xiàn fǎ,宪章,xiàn zhāng,
1071,毁,huǐ,销毁,xiāo huǐ,毁坏,huǐ huài,
1072,勒,lēi / lè,希特勒,xī tè lēi,勒斯,lēi sī,
1073,顶,dǐng,顶级,dǐng jí,山顶,shān dǐng,
1074,侵,qīn,入侵,rù qīn,侵犯,qīn fàn,
1075,丝,sī,一丝,yī sī,黑丝,hēi sī,
1076,餐,cān,餐厅,cān tīng,午餐,wǔ cān,
1077,静,jìng,安静,ān jìng,冷静,lěng jìng,
1078,赶,gǎn,赶紧,gǎn jǐn,赶快,gǎn kuài,
1079,篇,piān,一篇,yī piān,短篇,duǎn piān,
1080,懂,dǒng,懂得,dǒng de,听懂,tīng dǒng,
1081,闭,bì,关闭,guān bì,封闭,fēng bì,
1082,纸,zhǐ,报纸,bào zhǐ,纸币,zhǐ bì,
1083,浪,làng,浪费,làng fèi,浪漫,làng màn,
1084,荣,róng,光荣,guāng róng,荣获,róng huò,
1085,醒,xǐng,提醒,tí xǐng,清醒,qīng xǐng,
1086,夏,xià,夏天,xià tiān,夏季,xià jì,
1087,借,jiè,借口,jiè kǒu,借款,jiè kuǎn,
1088,桥,qiáo,大桥,dà qiáo,天桥,tiān qiáo,
1089,订,dìng,签订,qiān dìng,修订,xiū dìng,
1090,陈,chén,陈述,chén shù,陈列,chén liè,
1091,灭,miè,消灭,xiāo miè,毁灭,huǐ miè,
1092,绿,lǜ / lù,绿色,lǜ sè,绿化,lǜ huà,
1093,迷,mí,球迷,qiú mí,迷你,mí nǐ,
1094,暗,àn,黑暗,hēi àn,暗示,àn shì,
1095,援,yuán,援助,yuán zhù,支援,zhī yuán,
1096,尤,yóu,尤其,yóu qí,尤为,yóu wèi,
1097,宫,gōng,白宫,bái gōng,子宫,zi gōng,
1098,盖,gài / gě,盖章,gài zhāng,加盖,jiā gài,
1099,谋,móu,谋杀,móu shā,参谋,cān móu,
1100,聚,jù,聚集,jù jí,聚会,jù huì,
1101,塞,sāi / sài / sè,活塞,huó sāi,塞车,sāi chē,
1102,雨,yǔ / yù,下雨,xià yǔ,大雨,dà yǔ,
1103,尊,zūn,尊重,zūn zhòng,尊严,zūn yán,
1104,秀,xiù,优秀,yōu xiù,秀才,xiù cái,
1105,拜,bài,礼拜,lǐ bài,拜托,bài tuō,
1106,盘,pán,地盘,dì pán,盘子,pán zi,
1107,贴,tiē,补贴,bǔ tiē,贴近,tiē jìn,
1108,估,gū / gù,估计,gū jì,评估,píng gū,
1109,挑,tiāo / tiǎo,挑战,tiǎo zhàn,挑选,tiāo xuǎn,
1110,屋,wū,房屋,fáng wū,屋顶,wū dǐng,
1111,恩,ēn,周恩来,zhōu ēn lái,感恩,gǎn ēn,
1112,田,tián,农田,nóng tián,油田,yóu tián,
1113,泰,tài,泰国,tài guó,泰勒,tài lēi,
1114,赞,zàn,赞成,zàn chéng,赞同,zàn tóng,
1115,逃,táo,逃避,táo bì,逃离,táo lí,
1116,绩,jì,成绩,chéng jì,业绩,yè jì,
1117,乌,wū / wù,乌克兰,wū kè lán,乌云,wū yún,
1118,喝,hē / hè,喝酒,hē jiǔ,喝水,hē shuǐ,
1119,阻,zǔ,阻止,zǔ zhǐ,阻力,zǔ lì,
1120,川,chuān,四川省,sì chuān shěng,河川,hé chuān,
1121,涉,shè,涉及,shè jí,干涉,gān shè,
1122,捕,bǔ,被捕,bèi bǔ,捕鱼,bǔ yú,
1123,震,zhèn,地震,dì zhèn,震惊,zhèn jīng,
1124,鼓,gǔ,鼓舞,gǔ wǔ,鼓动,gǔ dòng,
1125,兄,xiōng,兄弟,xiōng dì,弟兄,dì xiōng,
1126,蛋,dàn,蛋白,dàn bái,蛋白质,dàn bái zhì,
1127,植,zhí,植物,zhí wù,种植,zhòng zhí,
1128,床,chuáng,床上,chuáng shàng,临床,lín chuáng,
1129,距,jù,距离,jù lí,差距,chā jù,
1130,佳,jiā,最佳,zuì jiā,不佳,bù jiā,
1131,键,jiàn,关键,guān jiàn,键盘,jiàn pán,
1132,鸡,jī,鸡巴,jī bā,鸡蛋,jī dàn,
1133,洗,xǐ / xiǎn,清洗,qīng xǐ,洗脑,xǐ nǎo,
1134,狱,yù,监狱,jiān yù,地狱,dì yù,
1135,途,tú,用途,yòng tú,途中,tú zhōng,
1136,魔,mó,魔法,mó fǎ,恶魔,è mó,
1137,雄,xióng,英雄,yīng xióng,雄性,xióng xìng,
1138,奶,nǎi,奶奶,nǎi nǎi,牛奶,niú nǎi,
1139,邦,bāng,联邦,lián bāng,城邦,chéng bāng,
1140,卷,juǎn / juàn,卷入,juǎn rù,席卷,xí juǎn,
1141,励,lì,鼓励,gǔ lì,奖励,jiǎng lì,
1142,末,mò / me,周末,zhōu mò,年末,nián mò,
1143,跳,tiào,跳舞,tiào wǔ,心跳,xīn tiào,
1144,替,tì,代替,dài tì,替代,tì dài,
1145,链,liàn,链接,liàn jiē,链条,liàn tiáo,
1146,搜,sōu,搜索,sōu suǒ,搜集,sōu jí,
1147,伙,huǒ,家伙,jiā huo,小伙子,xiǎo huǒ zi,
1148,纽,niǔ,纽约,niǔ yuē,纽带,niǔ dài,
1149,夺,duó,争夺,zhēng duó,夺取,duó qǔ,
1150,灾,zāi,灾难,zāi nàn,灾害,zāi hài,
1151,岸,àn,两岸,liǎng àn,海岸,hǎi àn,
1152,废,fèi,废除,fèi chú,废物,fèi wù,
1153,刺,cì / cī,刺激,cì jī,刺杀,cì shā,
1154,弱,ruò,弱点,ruò diǎn,减弱,jiǎn ruò,
1155,烟,yān,烟草,yān cǎo,香烟,xiāng yān,
1156,兼,jiān,兼职,jiān zhí,兼任,jiān rèn,
1157,麻,má,大麻,dà má,麻将,má jiāng,
1158,旗,qí,旗下,qí xià,国旗,guó qí,
1159,署,shǔ,签署,qiān shǔ,部署,bù shǔ,
1160,瓦,wǎ,瓦解,wá jiě,瓦斯,wǎ sī,
1161,狂,kuáng,狂热,kuáng rè,狂欢,kuáng huān,
1162,遍,biàn,普遍,pǔ biàn,一遍,yī biàn,
1163,辆,liàng,车辆,chē liàng,一辆,yī liàng,
1164,莱,lái,莱斯,lái sī,莱克,lái kè,
1165,忙,máng,帮忙,bāng máng,忙于,máng yú,
1166,驻,zhù,进驻,jìn zhù,驻地,zhù dì,
1167,麦,mài,小麦,xiǎo mài,麦克,mài kè,
1168,残,cán,残留,cán liú,残暴,cán bào,
1169,莫,mò,莫斯科,mò sī kē,莫非,mò fēi,
1170,逼,bī,逼近,bī jìn,逼迫,bī pò,
1171,触,chù,接触,jiē chù,触及,chù jí,
1172,姆,mǔ,拉姆,lā mǔ,保姆,bǎo mǔ,
1173,拒,jù,拒绝,jù jué,抗拒,kàng jù,
1174,符,fú,符合,fú hé,符号,fú hào,
1175,隐,yǐn,隐藏,yǐn cáng,隐私,yǐn sī,
1176,籍,jí,书籍,shū jí,国籍,guó jí,
1177,盛,shèng / chéng,华盛顿,huá shèng dùn,盛大,shèng dà,
1178,描,miáo,描述,miáo shù,描写,miáo xiě,
1179,册,cè,注册,zhù cè,手册,shǒu cè,
1180,娘,niáng,新娘,xīn niáng,娘娘,niáng niáng,
1181,沉,chén,沉重,chén zhòng,沉睡,chén shuì,
1182,徒,tú,基督徒,jī dū tú,信徒,xìn tú,
1183,丹,dān,丹麦,dān mài,苏丹,sū dān,
1184,坛,tán,论坛,lùn tán,政坛,zhèng tán,
1185,津,jīn,天津,tiān jīn,津贴,jīn tiē,
1186,冠,guān / guàn,冠军,guàn jūn,夺冠,duó guàn,
1187,掌,zhǎng,掌控,zhǎng kòng,掌声,zhǎng shēng,
1188,胡,hú,胡子,hú zi,胡同,hú tòng,
1189,毫,háo,毫无,háo wú,毫米,háo mǐ,
1190,宾,bīn,宾馆,bīn guǎn,来宾,lái bīn,
1191,抵,dǐ,抵达,dǐ dá,抵制,dǐ zhì,
1192,婆,pó,老婆,lǎo pó,婆婆,pó po,
1193,冰,bīng,冰川,bīng chuān,冰冷,bīng lěng,
1194,迹,jì,奇迹,qí jì,迹象,jì xiàng,
1195,祖,zǔ,祖国,zǔ guó,祖先,zǔ xiān,
1196,伴,bàn,伙伴,huǒ bàn,伴随,bàn suí,
1197,污,wū,污染,wū rǎn,污水,wū shuǐ,
1198,抱,bào,拥抱,yōng bào,怀抱,huái bào,
1199,泛,fàn,广泛,guǎng fàn,泛指,fàn zhǐ,
1200,阴,yīn,阴谋,yīn móu,阴影,yīn yǐng,
1201,粉,fěn,粉丝,fěn sī,奶粉,nǎi fěn,
1202,纷,fēn,纷纷,fēn fēn,纷争,fēn zhēng,
1203,朗,lǎng,伊朗,yī lǎng,布朗,bù lǎng,
1204,杯,bēi,世界杯,shì jiè bēi,一杯,yī bēi,
1205,菜,cài,菜单,cài dān,白菜,bái cài,
1206,累,lèi / léi / lěi,积累,jī lěi,累计,lěi jì,
1207,鬼,guǐ,魔鬼,mó guǐ,吸血鬼,xī xuè guǐ,
1208,恋,liàn,恋爱,liàn ài,同性恋,tóng xìng liàn,
1209,偷,tōu,偷偷,tōu tōu,小偷,xiǎo tōu,
1210,纯,chún,单纯,dān chún,纯属,chún shǔ,
1211,潮,cháo,高潮,gāo cháo,潮流,cháo liú,
1212,勇,yǒng,勇气,yǒng qì,勇敢,yǒng gǎn,
1213,昨,zuó,昨天,zuó tiān,昨晚,zuó wǎn,
1214,倍,bèi,两倍,liǎng bèi,一倍,yí bèi,
1215,镜,jìng,镜头,jìng tóu,眼镜,yǎn jìng,
1216,罚,fá,处罚,chǔ fá,罚款,fá kuǎn,
1217,阵,zhèn,一阵,yī zhèn,阵营,zhèn yíng,
1218,暂,zàn,暂时,zàn shí,暂停,zàn tíng,
1219,伟,wěi,伟大,wěi dà,伟人,wěi rén,
1220,摩,mó / mā,按摩,àn mó,摩托车,mó tuō chē,
1221,径,jìng,途径,tú jìng,直径,zhí jìng,
1222,默,mò,沉默,chén mò,默默,mò mò,
1223,抢,qiǎng / qiāng,抢救,qiǎng jiù,抢夺,qiǎng duó,
1224,菲,fēi / fěi,菲律宾,fēi lǜ bīn,菲尔,fēi ěr,
1225,曼,màn,阿曼,ā màn,曼哈顿,màn hā dùn,
1226,档,dàng,档案,dàng àn,文档,wén dàng,
1227,贫,pín,贫困,pín kùn,贫民,pín mín,
1228,埃,āi,埃及,āi jí,苏维埃,sū wéi āi,
1229,惯,guàn,习惯,xí guàn,惯例,guàn lì,
1230,仪,yí,仪式,yí shì,仪器,yí qì,
1231,蓝,lán,蓝色,lán sè,蓝天,lán tiān,
1232,允,yǔn,允许,yún xǔ,允诺,yǔn nuò,
1233,挂,guà,挂牌,guà pái,外挂,wài guà,
1234,折,zhé / shé / zhē,曲折,qū zhé,转折,zhuǎn zhé,
1235,烧,shāo,烧毁,shāo huǐ,发烧,fā shāo,
1236,祝,zhù,庆祝,qìng zhù,祝福,zhù fú,
1237,坡,pō,新加坡,xīn jiā pō,山坡,shān pō,
1238,奋,fèn,兴奋,xīng fèn,奋斗,fèn dòu,
1239,姓,xìng,百姓,bǎi xìng,老百姓,lǎo bǎi xìng,
1240,疯,fēng,疯狂,fēng kuáng,疯子,fēng zi,
1241,零,líng,零售,líng shòu,零件,líng jiàn,
1242,缩,suō,缩短,suō duǎn,缩小,suō xiǎo,
1243,矿,kuàng,矿产,kuàng chǎn,矿业,kuàng yè,
1244,艾,ài / yì,艾伦,ài lún,艾尔,ài ěr,
1245,袭,xí,袭击,xí jī,空袭,kōng xí,
1246,租,zū,出租,chū zū,出租车,chū zū chē,
1247,彻,chè,彻底,chè dǐ,透彻,tòu chè,
1248,映,yìng,反映,fǎn yìng,上映,shàng yìng,
1249,耳,ěr,土耳其,tǔ ěr qí,耳机,ěr jī,
1250,谷,gǔ,谷歌,gǔ gē,曼谷,màn gǔ,
1251,宽,kuān,宽容,kuān róng,宽松,kuān sōng,
1252,瑞,ruì,瑞典,ruì diǎn,瑞士,ruì shì,
1253,刊,kān,周刊,zhōu kān,刊登,kān dēng,
1254,虚,xū,虚假,xū jiǎ,虚构,xū gòu,
1255,圈,quān / juān / juàn,一圈,yī quān,圈子,quān zi,
1256,幅,fú,大幅,dà fú,一幅,yī fú,
1257,询,xún,询问,xún wèn,查询,chá xún,
1258,棒,bàng,很棒,hěn bàng,棒球,bàng qiú,
1259,邀,yāo,邀请,yāo qǐng,受邀,shòu yāo,
1260,措,cuò,措施,cuò shī,举措,jǔ cuò,
1261,辖,xiá,管辖,guǎn xiá,辖区,xiá qū,
1262,悲,bēi,悲剧,bēi jù,悲伤,bēi shāng,
1263,潜,qián,潜力,qián lì,潜在,qián zài,
1264,叶,yè / xié,叶子,yè zi,中叶,zhōng yè,
1265,烦,fán,麻烦,má fán,心烦,xīn fán,
1266,雅,yǎ,优雅,yōu yǎ,雅典,yǎ diǎn,
1267,撤,chè,撤销,chè xiāo,撤离,chè lí,
1268,甲,jiǎ,装甲,zhuāng jiǎ,指甲,zhǐ jiǎ,
1269,欲,yù,欲望,yù wàng,性欲,xìng yù,
1270,漂,piāo / piào / piǎo,漂亮,piào liàng,漂流,piāo liú,
1271,墙,qiáng,墙上,qiáng shàng,城墙,chéng qiáng,
1272,旁,páng,旁边,páng biān,身旁,shēn páng,
1273,硬,yìng,硬件,yìng jiàn,硬币,yìng bì,
1274,截,jié,截至,jié zhì,截图,jié tú,
1275,刘,liú,刘家,liú jiā,刘海,liú hǎi,
1276,骨,gǔ / gū,骨头,gǔ tou,骨干,gǔ gàn,
1277,贷,dài,贷款,dài kuǎn,信贷,xìn dài,
1278,雪,xuě,冰雪,bīng xuě,雪山,xuě shān,
1279,奴,nú,奴才,nú cái,农奴,nóng nú,
1280,黎,lí,巴黎,bā lí,黎明,lí míng,
1281,忆,yì,记忆,jì yì,回忆,huí yì,
1282,诚,chéng,诚信,chéng xìn,真诚,zhēn chéng,
1283,粮,liáng,粮食,liáng shí,口粮,kǒu liáng,
1284,症,zhèng / zhēng,症状,zhèng zhuàng,病症,bìng zhèng,
1285,倾,qīng,倾向,qīng xiàng,倾听,qīng tīng,
1286,忍,rěn,残忍,cán rěn,忍受,rěn shòu,
1287,赚,zhuàn / zuàn,赚钱,zhuàn qián,网赚,wǎng zhuàn,
1288,宜,yí,便宜,pián yi,适宜,shì yí,
1289,爷,yé,爷爷,yé yé,大爷,dà yé,
1290,嘴,zuǐ,嘴里,zuǐ lǐ,嘴巴,zuǐ bā,
1291,呀,ya / yā,啊呀,a ya,天呀,tiān yā,
1292,握,wò,掌握,zhǎng wò,把握,bǎ wò,
1293,伍,wǔ,队伍,duì wǔ,退伍,tuì wǔ,
1294,览,lǎn,展览,zhǎn lǎn,游览,yóu lǎn,
1295,灯,dēng,灯光,dēng guāng,灯塔,dēng tǎ,
1296,锁,suǒ,封锁,fēng suǒ,锁定,suǒ dìng,
1297,乏,fá,缺乏,quē fá,不乏,bù fá,
1298,拟,nǐ,模拟,mó nǐ,虚拟,xū nǐ,
1299,舰,jiàn,舰队,jiàn duì,军舰,jūn jiàn,
1300,聊,liáo,聊天,liáo tiān,无聊,wú liáo,
1301,邮,yóu,邮件,yóu jiàn,邮政,yóu zhèng,
1302,摆,bǎi,摆脱,bǎi tuō,摆在,bǎi zài,
1303,钢,gāng,钢铁,gāng tiě,钢材,gāng cái,
1304,隔,gé,隔离,gé lí,间隔,jiàn gé,
1305,丁,dīng / zhēng,马丁,mǎ dīng,拉丁,lā dīng,
1306,胁,xié,威胁,wēi xié,胁迫,xié pò,
1307,沿,yán,沿海,yán hǎi,沿岸,yán àn,
1308,侧,cè / zhāi,两侧,liǎng cè,东侧,dōng cè,
1309,偏,piān,偏见,piān jiàn,偏偏,piān piān,
1310,殖,zhí,养殖,yǎng zhí,殖民,zhí mín,
1311,扬,yáng,宣扬,xuān yáng,赞扬,zàn yáng,
1312,贡,gòng,贡献,gòng xiàn,贡士,gòng shì,
1313,恢,huī,恢复,huī fù,恢复期,huī fù qī,
1314,械,xiè,机械,jī xiè,器械,qì xiè,
1315,陷,xiàn,陷入,xiàn rù,缺陷,quē xiàn,
1316,缘,yuán,边缘,biān yuán,缘故,yuán gù,
1317,患,huàn,患者,huàn zhě,隐患,yǐn huàn,
1318,戴,dài,戴上,dài shàng,穿戴,chuān dài,
1319,净,jìng,干净,gān jìng,净化,jìng huà,
1320,迅,xùn,迅速,xùn sù,鲁迅,lǔ xùn,
1321,惠,huì,优惠,yōu huì,实惠,shí huì,
1322,杰,jié,杰出,jié chū,杰作,jié zuò,
1323,圆,yuán,圆满,yuán mǎn,圆形,yuán xíng,
1324,缓,huǎn,缓慢,huǎn màn,缓解,huán jiě,
1325,搭,dā,搭配,dā pèi,搭建,dā jiàn,
1326,繁,fán / pó,繁荣,fán róng,频繁,pín fán,
1327,详,xiáng,详细,xiáng xì,详情,xiáng qíng,
1328,迁,qiān,变迁,biàn qiān,迁移,qiān yí,
1329,刀,dāo,一刀,yī dāo,刀子,dāo zi,
1330,齐,qí,齐全,qí quán,整齐,zhěng qí,
1331,殊,shū,特殊,tè shū,殊荣,shū róng,
1332,扰,rǎo,干扰,gān rǎo,困扰,kùn rǎo,
1333,绪,xù,情绪,qíng xù,光绪,guāng xù,
1334,乘,chéng / shèng,乘客,chéng kè,乘坐,chéng zuò,
1335,赏,shǎng,观赏,guān shǎng,赞赏,zàn shǎng,
1336,债,zhài,债务,zhài wù,负债,fù zhài,
1337,娱,yú,娱乐,yú lè,娱乐场,yú lè chǎng,
1338,券,quàn,证券,zhèng quàn,债券,zhài quàn,
1339,冒,mào,冒险,mào xiǎn,感冒,gǎn mào,
1340,诸,zhū,诸多,zhū duō,诸如,zhū rú,
1341,峰,fēng,高峰,gāo fēng,峰会,fēng huì,
1342,旦,dàn,一旦,yí dàn,花旦,huā dàn,
1343,孙,sūn,孙子,sūn zi,孙中山,sūn zhōng shān,
1344,涨,zhǎng / zhàng,上涨,shàng zhǎng,高涨,gāo zhǎng,
1345,饮,yǐn / yìn,饮食,yǐn shí,饮料,yǐn liào,
1346,荐,jiàn,推荐,tuī jiàn,引荐,yǐn jiàn,
1347,跨,kuà,跨越,kuà yuè,跨国,kuà guó,
1348,趋,qū,趋势,qū shì,日趋,rì qū,
1349,腐,fǔ,腐败,fǔ bài,反腐,fǎn fǔ,
1350,衡,héng,平衡,píng héng,衡量,héng liáng,
1351,茶,chá,茶叶,chá yè,喝茶,hē chá,
1352,剩,shèng,剩下,shèng xià,剩余,shèng yú,
1353,弄,nòng / lòng,玩弄,wán nòng,弄清,nòng qīng,
1354,鸟,niǎo / diǎo,鸟类,niǎo lèi,小鸟,xiǎo niǎo,
1355,俗,sú,习俗,xí sú,俗称,sú chēng,
1356,怖,bù,恐怖,kǒng bù,恐怖片,kǒng bù piàn,
1357,猫,māo / máo,小猫,xiǎo māo,天猫,tiān māo,
1358,猪,zhū,猪肉,zhū ròu,猪头,zhū tóu,
1359,玛,mǎ,玛丽,mǎ lì,玛丽亚,mǎ lì yà,
1360,骑,qí,骑士,qí shì,骑兵,qí bīng,
1361,龄,líng,年龄,nián líng,高龄,gāo líng,
1362,疾,jí,疾病,jí bìng,残疾,cán jí,
1363,碍,ài,障碍,zhàng ài,阻碍,zǔ ài,
1364,唐,táng,唐人,táng rén,唐突,táng tū,
1365,饰,shì,装饰,zhuāng shì,服饰,fú shì,
1366,苹,píng,苹果,píng guǒ,苹果派,píng guǒ pài,
1367,洞,dòng / tóng,黑洞,hēi dòng,空洞,kōng dòng,
1368,誉,yù,荣誉,róng yù,名誉,míng yù,
1369,偶,ǒu,偶像,ǒu xiàng,偶尔,ǒu ěr,
1370,抽,chōu,抽烟,chōu yān,抽象,chōu xiàng,
1371,炮,pào / bāo / páo,大炮,dà pào,炮弹,pào dàn,
1372,迟,chí,延迟,yán chí,推迟,tuī chí,
1373,呈,chéng,呈现,chéng xiàn,呈报,chéng bào,
1374,丢,diū,丢脸,diū liǎn,丢失,diū shī,
